source,target,measurement_id
"14300,52344,61868,61113","165.16.221.228",61984614
"14300,52344,61868,61113","181.215.183.179",61984615
"14300,52344,61868,61113","49.36.191.11",61984617
"14300,52344,61868,61113","116.202.28.156",61984618
"14300,52344,61868,61113","103.21.3.89",61984619
"14300,51310,51754,52344,60259,61113,61868",165.16.221.228,62028101
"14300,51310,51754,52344,60259,61113,61868",181.215.183.179,62028103
"14300,51310,51754,52344,60259,61113,61868",49.36.191.11,62028104
"14300,51310,51754,52344,60259,61113,61868",116.202.28.156,62028105
"14300,51310,51754,52344,60259,61113,61868",103.21.3.89,62028107
"14300,51310,51754,52344,60259,61113,61868",165.16.221.228,62028891
"14300,51310,51754,52344,60259,61113,61868",181.215.183.179,62028893
"14300,51310,51754,52344,60259,61113,61868",49.36.191.11,62028894
"14300,51310,51754,52344,60259,61113,61868",116.202.28.156,62028896
"14300,51310,51754,52344,60259,61113,61868",103.21.3.89,62028897
"14300,51310,51754,52344,60259,61113,61868",165.16.221.228,62029175
"14300,51310,51754,52344,60259,61113,61868",181.215.183.179,62029177
"14300,51310,51754,52344,60259,61113,61868",49.36.191.11,62029179
"14300,51310,51754,52344,60259,61113,61868",116.202.28.156,62029180
"14300,51310,51754,52344,60259,61113,61868",103.21.3.89,62029181
"14300,51310,51754,52344,60259,61113,61868",165.16.221.228,62029595
"14300,51310,51754,52344,60259,61113,61868",181.215.183.179,62029597
"14300,51310,51754,52344,60259,61113,61868",49.36.191.11,62029600
"14300,51310,51754,52344,60259,61113,61868",116.202.28.156,62029601
"14300,51310,51754,52344,60259,61113,61868",103.21.3.89,62029609
